EELLMTØ;MØLLETE
KKMORTØ;MØRKOKT
FLMRTÅØ;MÅLFØRT
AJKLMTÅ;MÅLJAKT
ANNSTTY;NATTSYN
IIKKNRS;NISKRIK
LMNNOSÅ;NONSMÅL
GGNRSUÅ;NUGGSÅR
EJNPSUY;NYPEJUS
LNSTTYÅ;NYSLÅTT
EJLOTYØ;OLJETØY
EGMOTTÅ;OMGÅTTE
EEGGLMO;OMLEGGE
EENOPPS;OPPESEN OPPESNE OPPNESE SOPPENE
AGIOPPR;OPPGIRA
AMOPPRS;OPPRAMS
AGOPPST;OPPSAGT
EOPPSTU;OPPSTUE
DDORSTY;ORDDYST
BEORRVY;OVERBYR
EKMOORV;OVERKOM
AIIOPRV;OVIPARI
ABINNPU;PAIBUNN
AAIPRSS;PASSIAR
EFIIKPR;PIKEFRI
DEEILLP;PILLEDE
AFGLOPY;POLYFAG
ELLOPTØ;POLØLET
IKOOPRT;PORTIKO
EHOPSST;POSHEST
ELOPTTÅ;POTETÅL
EEPRRTT;PRETTER
EILLPRR;PRILLER
EMOPPRT;PROMPET PROMPTE
DMPRSYØ;PRYDSØM
EGPRVÅØ;PRØVEGÅ
AIPTTUV;PUTATIV
EHPRTÅØ;PÅHØRET PÅHØRTE
AAKLPSÅ;PÅLASKA
DEELMPÅ;PÅMELDE
AAGNPSÅ;PÅSAGNA
GINPSYÅ;PÅSYING
AEHPPRT;RAPPHET
AERRRST;RASTRER
ADMRSUU;RAUDMUS
DEEEIPR;REIPEDE
AEEEPRV;REVEAPE
DIIKLRY;RIDIKYL
GIINRSS;RISSING
BEORRSÆ;ROSEBÆR SÆRBOER
FLORTTY;ROTFYLT
EORRTTÅ;ROTRÅTE ROTTEÅR
EHRRTUÅ;RUHÅRET
EELLRRU;RULLERE
DDEGIRY;RYDDIGE
DKLLRUØ;RØDKULL
ADMRRVØ;RØDVARM VARMRØD
AAGLRRØ;RØRLAGA
BEEGRRÅ;RÅBERGE
EIOORSS;SERIOSO
AIIKSST;SITSKIA
GIINSTT;SITTING
AAJMRSU;SJUARMA
AJKMPSU;SJUKAMP
DJKMOSU;SJUKDOM
AJLLSTU;SJUTALL
AJNNSTØ;SJØTANN
EJMPSTØ;SJØTEMP
EEJKSVØ;SJØVEKE
AKLMPSÆ;SKAMPÆL
AEKSTTT;SKATTET
